"Name","BaseSectionLength","SectionDurationSeconds","LeagueBalanceSet","Type","SectionName","ItemName","ItemLocation"
"string","int","int","int","string","string","string","string"
"Default",50000,604800,0,"Section","RiverRace_1",,
,,,,"Item",,"Duel","node_01"
,,,,"Item",,"Battle","node_02"
,,,,"Item",,"Trader","node_03"
,,,,"Item",,"RepairTask","node_05"
,,,,"Item",,"Reward","node_reward"
,,,,"Item",,"LeagueRules","node_04"
,,,,"Item",,"BattleTripleElixir","node_06"
,50000,604800,,"Section","RiverRace_2",,
,,,,"Item",,"Duel","node_01"
,,,,"Item",,"Battle","node_02"
,,,,"Item",,"Trader","node_03"
,,,,"Item",,"RepairTask","node_05"
,,,,"Item",,"Reward","node_reward"
,,,,"Item",,"LeagueRules","node_04"
,,,,"Item",,"BattleSuddenDeath","node_06"
,50000,604800,,"Section","RiverRace_1",,
,,,,"Item",,"Duel","node_01"
,,,,"Item",,"Battle","node_02"
,,,,"Item",,"Trader","node_03"
,,,,"Item",,"RepairTask","node_05"
,,,,"Item",,"Reward","node_reward"
,,,,"Item",,"LeagueRules","node_04"
,,,,"Item",,"BattleDoubleElixir","node_06"
,25000,604800,,"Section","RiversEnd",,
,,,,"Item",,"Duel","node_01"
,,,,"Item",,"Battle","node_02"
,,,,"Item",,"Trader","node_03"
,,,,"Item",,"RepairTask","node_05"
,,,,"Item",,"RewardEnd","node_reward"
,,,,"Item",,"LeagueBattle","node_arena"
,,,,"Item",,"LeagueRules","node_04"
,,,,"Item",,"BattleRage","node_06"
"Default2Section",50000,604800,0,"Section","RiverRace_1",,
,,,,"Item",,"Duel","node_01"
,,,,"Item",,"Battle","node_02"
,,,,"Item",,"Trader","node_03"
,,,,"Item",,"RepairTask","node_05"
,,,,"Item",,"Reward","node_reward"
,,,,"Item",,"LeagueRules","node_04"
,,,,"Item",,"BattleTripleElixir","node_06"
,25000,604800,,"Section","RiversEnd",,
,,,,"Item",,"Duel","node_01"
,,,,"Item",,"Battle","node_02"
,,,,"Item",,"Trader","node_03"
,,,,"Item",,"RepairTask","node_05"
,,,,"Item",,"RewardEnd","node_reward"
,,,,"Item",,"LeagueBattle","node_arena"
,,,,"Item",,"LeagueRules","node_04"
,,,,"Item",,"BattleSuddenDeath","node_06"
"Default5week",50000,604800,0,"Section","RiverRace_1",,
,,,,"Item",,"Duel","node_01"
,,,,"Item",,"Battle","node_02"
,,,,"Item",,"Trader","node_03"
,,,,"Item",,"RepairTask","node_05"
,,,,"Item",,"Reward","node_reward"
,,,,"Item",,"LeagueRules","node_04"
,,,,"Item",,"Battle7xElixir","node_06"
,50000,604800,,"Section","RiverRace_2",,
,,,,"Item",,"Duel","node_01"
,,,,"Item",,"Battle","node_02"
,,,,"Item",,"Trader","node_03"
,,,,"Item",,"RepairTask","node_05"
,,,,"Item",,"Reward","node_reward"
,,,,"Item",,"LeagueRules","node_04"
,,,,"Item",,"BattleSuddenDeath","node_06"
,50000,604800,,"Section","RiverRace_1",,
,,,,"Item",,"Duel","node_01"
,,,,"Item",,"Battle","node_02"
,,,,"Item",,"Trader","node_03"
,,,,"Item",,"RepairTask","node_05"
,,,,"Item",,"Reward","node_reward"
,,,,"Item",,"LeagueRules","node_04"
,,,,"Item",,"BattleTripleElixir","node_06"
,50000,604800,,"Section","RiverRace_2",,
,,,,"Item",,"Duel","node_01"
,,,,"Item",,"Battle","node_02"
,,,,"Item",,"Trader","node_03"
,,,,"Item",,"RepairTask","node_05"
,,,,"Item",,"Reward","node_reward"
,,,,"Item",,"LeagueRules","node_04"
,,,,"Item",,"BattleRage","node_06"
,25000,604800,,"Section","RiversEnd",,
,,,,"Item",,"Duel","node_01"
,,,,"Item",,"Battle","node_02"
,,,,"Item",,"Trader","node_03"
,,,,"Item",,"RepairTask","node_05"
,,,,"Item",,"RewardEnd","node_reward"
,,,,"Item",,"LeagueBattle","node_arena"
,,,,"Item",,"LeagueRules","node_04"
,,,,"Item",,"BattleDoubleElixir","node_06"
"ClassicModes4week",50000,604800,1,"Section","RiverRace_1",,
,,,,"Item",,"Duel","node_01"
,,,,"Item",,"Battle","node_02"
,,,,"Item",,"Trader","node_03"
,,,,"Item",,"RepairTask","node_05"
,,,,"Item",,"Reward","node_reward"
,,,,"Item",,"LeagueRules","node_04"
,,,,"Item",,"Battle7xElixir","node_06"
,50000,604800,,"Section","RiverRace_2",,
,,,,"Item",,"Duel","node_01"
,,,,"Item",,"Battle","node_02"
,,,,"Item",,"Trader","node_03"
,,,,"Item",,"RepairTask","node_05"
,,,,"Item",,"Reward","node_reward"
,,,,"Item",,"LeagueRules","node_04"
,,,,"Item",,"BattleSuddenDeath","node_06"
,50000,604800,,"Section","RiverRace_1",,
,,,,"Item",,"Duel","node_01"
,,,,"Item",,"Battle","node_02"
,,,,"Item",,"Trader","node_03"
,,,,"Item",,"RepairTask","node_05"
,,,,"Item",,"Reward","node_reward"
,,,,"Item",,"LeagueRules","node_04"
,,,,"Item",,"BattleTripleElixir","node_06"
,25000,604800,,"Section","RiversEnd",,
,,,,"Item",,"Duel","node_01"
,,,,"Item",,"Battle","node_02"
,,,,"Item",,"Trader","node_03"
,,,,"Item",,"RepairTask","node_05"
,,,,"Item",,"RewardEnd","node_reward"
,,,,"Item",,"LeagueBattle","node_arena"
,,,,"Item",,"LeagueRules","node_04"
,,,,"Item",,"BattleRampUp","node_06"
"ClassicModes5week",50000,604800,1,"Section","RiverRace_1",,
,,,,"Item",,"Duel","node_01"
,,,,"Item",,"Battle","node_02"
,,,,"Item",,"Trader","node_03"
,,,,"Item",,"RepairTask","node_05"
,,,,"Item",,"Reward","node_reward"
,,,,"Item",,"LeagueRules","node_04"
,,,,"Item",,"BattleTripleElixir","node_06"
,50000,604800,,"Section","RiverRace_2",,
,,,,"Item",,"Duel","node_01"
,,,,"Item",,"Battle","node_02"
,,,,"Item",,"Trader","node_03"
,,,,"Item",,"RepairTask","node_05"
,,,,"Item",,"Reward","node_reward"
,,,,"Item",,"LeagueRules","node_04"
,,,,"Item",,"BattleRage","node_06"
,50000,604800,,"Section","RiverRace_1",,
,,,,"Item",,"Duel","node_01"
,,,,"Item",,"Battle","node_02"
,,,,"Item",,"Trader","node_03"
,,,,"Item",,"RepairTask","node_05"
,,,,"Item",,"Reward","node_reward"
,,,,"Item",,"LeagueRules","node_04"
,,,,"Item",,"BattleSuddenDeath","node_06"
,50000,604800,,"Section","RiverRace_2",,
,,,,"Item",,"Duel","node_01"
,,,,"Item",,"Battle","node_02"
,,,,"Item",,"Trader","node_03"
,,,,"Item",,"RepairTask","node_05"
,,,,"Item",,"Reward","node_reward"
,,,,"Item",,"LeagueRules","node_04"
,,,,"Item",,"BattleRampUp","node_06"
,25000,604800,,"Section","RiversEnd",,
,,,,"Item",,"Duel","node_01"
,,,,"Item",,"Battle","node_02"
,,,,"Item",,"Trader","node_03"
,,,,"Item",,"RepairTask","node_05"
,,,,"Item",,"RewardEnd","node_reward"
,,,,"Item",,"LeagueBattle","node_arena"
,,,,"Item",,"LeagueRules","node_04"
,,,,"Item",,"Battle7xElixir","node_06"
