"Name","EndCondition","KillChildWavesOnEnd","ActionOrder","ActionType","ActionArgString","ActionIsEnabled","ActionStartCondition","ActionSpawnCount","ActionSpawnX","ActionSpawnY","ActionSpawnDelay","ActionSpawnLevel"
"String","String","String","String","StringArray","StringArray","StringArray","StringArray","StringArray","StringArray","StringArray","StringArray","StringArray"
"Tutorial1","false","false","Sequential","Spawn","Skeletons","true","time_in_line >= 2500",1,3500,7500,0,1
,,,,"Spawn","Goblins","true","time_in_line >= 50",1,6000,6000,0,1
,,,,"SpawnWaveStandalone","Tutorial1Repeat","true","true",,,,,
,,,,,,,,,,,,
"Tutorial1Repeat","false","false","Sequential","Spawn","Skeletons","true","time_in_line >= 12500",1,3500,7500,0,1
,,,,"Spawn","Skeletons","true","time_in_line >= 12500",1,10000,7500,0,1
,,,,"RestartWave",,"true","true",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"Tutorial2","false","false","Sequential","Spawn","Goblins","true","time_in_line >= 3000",1,4000,7000,0,1
,,,,"Spawn","Knight","true","time_in_line >= 10000",1,6000,8000,0,1
,,,,"Spawn","Archer","true","true",1,6000,8000,0,1
,,,,"Spawn","Goblins","true","time_in_line >= 15000",1,4000,7000,0,1
,,,,"RestartWave",,"true","time_in_line >= 7000",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"MainClanBoatAttack","false","false","Sequential","None","VAR1 == time to wait per elixir for live towers (spawn-on-hit mode)","true","true",,,,,
,,,,"None","VAR2 == time to wait per elixir for broken towers","true","true",,,,,
,,,,"None","VAR3 == damage hp per elixir for live towers (spawn-on-dmg mode)","true","true",,,,,
,,,,"None","VAR4 == number of towers destroyed (during this run)",,,,,,,
,,,,"SetVar1",,"true","true",600,,,,
,,,,"SetVar2",,"true","true",3000,,,,
,,,,"SetVar3",,"true","true","200",,,,
,,,,"SetVar4",,"true","true","0",,,,
,,,,"Log","Spawn safe 1","true","true",,,,,
,,,,"SetWaveVar3",,"true","true",1,,,,
,,,,"SpawnWaveChild","MainClanBoatAttackTower","true","true",,,,,
,,,,"DefenseWaveDone",,"true","true",,,,,
,,,,"Log","Spawn safe 2","true","true",,,,,
,,,,"SetWaveVar3",,"true","true",2,,,,
,,,,"SpawnWaveChild","MainClanBoatAttackTower","true","true",,,,,
,,,,"DefenseWaveDone",,"true","true",,,,,
,,,,"Log","Spawn safe 3","true","true",,,,,
,,,,"SetWaveVar3",,"true","true",3,,,,
,,,,"SpawnWaveChild","MainClanBoatAttackTower","true","true",,,,,
,,,,"DefenseWaveDone",,"true","true",,,,,
,,,,"None",,"true","child_waves_alive < 3",,,,,
,,,,"Log","1 TOWER KILLED!","true","true",,,,,
,,,,"SetVar1",,"true","true",600,,,,
,,,,"None",,"true","child_waves_alive < 2",,,,,
,,,,"Log","2 TOWERS KILLED!","true","true",,,,,
,,,,"SetVar1",,"true","true",600,,,,
,,,,"None",,"true","child_waves_alive < 1",,,,,
,,,,"Log","ALL TOWERS KILLED!","true","true",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"MainClanBoatAttackTower","false","false","Sequential","SpawnDestroyedTower","ClanWarsTowerXbowDestroyedAtStart","tower_hp(wave_var3-1) <= 0","true","wave_var3-1",,,,
,,,,"EndWave",,"tower_hp(wave_var3-1) <= 0","true",,,,,
,,,,"SetWaveVar2",,"true","true","tower_hp(wave_var3-1)",,,,
,,,,"None","NOTE! Only one of SPAWNONDMG and SPAWNONHIT should be enabled!","true","true",,,,,
,,,,"SpawnWaveChild","MainClanBoatAttackRevengeTower_SPAWNONDMG","false","true",,,,,
,,,,"SpawnWaveChild","MainClanBoatAttackRevengeTower_SPAWNONHIT","true","true",,,,,
,,,,"None",,"true","child_waves_alive < 1",,,,,
,,,,"Log","Tower $WAVE_VAR3$ broken, continuous spawn!","true","true",,,,,
,,,,"GivePlayerElixir",,"true","true",10,"wave_var3-1",,,
,,,,"TriggerNextElixirRate",,"true","true",,,,,
,,,,"SpawnDestroyedTower","ClanWarsTowerXbowDestroyedSpawn","true","true","wave_var3-1",,,,
,,,,"SpawnWaveChild","MainClanBoatAttackBrokenTower","true","true",,,,,
,,,,"TriggerBonusTime",,"true","true",,,,,
,,,,"None","**PAUSE GAME IF FIRST TOWER**","true","true",,,,,
,,,,"SetVar4",,"true","true","var4+1",,,,
,,,,"PauseLogic",,"Var4==1","true",4000,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"MainClanBoatAttackRevengeTower_SPAWNONDMG","tower_hp(wave_var3-1) <= 0","false","Sequential","None","**SPAWN-ON-DAMAGE MODE**","true","true",,,,,
,,,,"None",,"true","tower_hp(wave_var3-1) < (wave_var2 - var3 * defense_card_cost1)",,,,,
,,,,"SetWaveVar2",,"true","true","wave_var2 - var3 * defense_card_cost1",,,,
,,,,"Log","TOWER $WAVE_VAR3$ TRIGGERED, UNIT SLOT 1!","true","true",,,,,
,,,,"SetDefenseCardIndex",,"true","true","0",,,,
,,,,"SpawnWaveChild","Tower$WAVE_VAR3$Spawn$CURRENT_CARD_PVE_TYPE$1","true","true",,,,,
,,,,"TriggerDefenseDeploy",,"true","true","wave_var3-1",,,,
,,,,"None",,"true","tower_hp(wave_var3-1) < (wave_var2 - var3 * defense_card_cost2)",,,,,
,,,,"SetWaveVar2",,"true","true","wave_var2 - var3 * defense_card_cost2",,,,
,,,,"Log","TOWER $WAVE_VAR3$ TRIGGERED, UNIT SLOT 2!","true","true",,,,,
,,,,"SetDefenseCardIndex",,"true","true","1",,,,
,,,,"SpawnWaveChild","Tower$WAVE_VAR3$Spawn$CURRENT_CARD_PVE_TYPE$2","true","true",,,,,
,,,,"TriggerDefenseDeploy",,"true","true","wave_var3-1",,,,
,,,,"None",,"true","tower_hp(wave_var3-1) < (wave_var2 - var3 * defense_card_cost3)",,,,,
,,,,"SetWaveVar2",,"true","true","wave_var2 - var3 * defense_card_cost3",,,,
,,,,"Log","TOWER $WAVE_VAR3$ TRIGGERED, UNIT SLOT 3!","true","true",,,,,
,,,,"SetDefenseCardIndex",,"true","true","2",,,,
,,,,"SpawnWaveChild","Tower$WAVE_VAR3$Spawn$CURRENT_CARD_PVE_TYPE$3","true","true",,,,,
,,,,"TriggerDefenseDeploy",,"true","true","wave_var3-1",,,,
,,,,"None",,"true","tower_hp(wave_var3-1) < (wave_var2 - var3 * defense_card_cost4)",,,,,
,,,,"SetWaveVar2",,"true","true","wave_var2 - var3 * defense_card_cost4",,,,
,,,,"Log","TOWER $WAVE_VAR3$ TRIGGERED, UNIT SLOT 4!","true","true",,,,,
,,,,"SetDefenseCardIndex",,"true","true","3",,,,
,,,,"SpawnWaveChild","Tower$WAVE_VAR3$Spawn$CURRENT_CARD_PVE_TYPE$4","true","true",,,,,
,,,,"TriggerDefenseDeploy",,"true","true","wave_var3-1",,,,
,,,,"RestartWave",,"true","true",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"MainClanBoatAttackRevengeTower_SPAWNONHIT","tower_hp(wave_var3-1) <= 0","false","Sequential","None","**SPAWN-ON-HIT MODE**","true","true",,,,,
,,,,"SetWaveVar1",,"true","true","tower_hp(wave_var3-1)",,,,
,,,,"None",,"true","tower_hp(wave_var3-1) != wave_var1",,,,,
,,,,"Log","TOWER $WAVE_VAR3$ TRIGGERED, UNIT SLOT 1!","true","true",,,,,
,,,,"SetDefenseCardIndex",,"true","true",0,,,,
,,,,"SpawnWaveChild","Tower$WAVE_VAR3$Spawn$CURRENT_CARD_PVE_TYPE$1","true","true",,,,,
,,,,"TriggerDefenseDeploy",,"true","true","wave_var3-1",,,,
,,,,"SetDefenseChargeTime",,"true","true","wave_var3-1","var1*defense_card_cost2",,,
,,,,"None",,"true","time_in_line >= (var1 * defense_card_cost2)",,,,,
,,,,"SetWaveVar1",,"true","true","tower_hp(wave_var3-1)",,,,
,,,,"None",,"true","tower_hp(wave_var3-1) != wave_var1",,,,,
,,,,"Log","TOWER $WAVE_VAR3$ TRIGGERED, UNIT SLOT 2!","true","true",,,,,
,,,,"SetDefenseCardIndex",,"true","true",1,,,,
,,,,"SpawnWaveChild","Tower$WAVE_VAR3$Spawn$CURRENT_CARD_PVE_TYPE$2","true","true",,,,,
,,,,"TriggerDefenseDeploy",,"true","true","wave_var3-1",,,,
,,,,"SetDefenseChargeTime",,"true","true","wave_var3-1","var1*defense_card_cost3",,,
,,,,"None",,"true","time_in_line >= (var1 * defense_card_cost3)",,,,,
,,,,"SetWaveVar1",,"true","true","tower_hp(wave_var3-1)",,,,
,,,,"None",,"true","tower_hp(wave_var3-1) != wave_var1",,,,,
,,,,"Log","TOWER $WAVE_VAR3$ TRIGGERED, UNIT SLOT 3!","true","true",,,,,
,,,,"SetDefenseCardIndex",,"true","true",2,,,,
,,,,"SpawnWaveChild","Tower$WAVE_VAR3$Spawn$CURRENT_CARD_PVE_TYPE$3","true","true",,,,,
,,,,"TriggerDefenseDeploy",,"true","true","wave_var3-1",,,,
,,,,"SetDefenseChargeTime",,"true","true","wave_var3-1","var1*defense_card_cost4",,,
,,,,"None",,"true","time_in_line >= (var1 * defense_card_cost4)",,,,,
,,,,"SetWaveVar1",,"true","true","tower_hp(wave_var3-1)",,,,
,,,,"None",,"true","tower_hp(wave_var3-1) != wave_var1",,,,,
,,,,"Log","TOWER $WAVE_VAR3$ TRIGGERED, UNIT SLOT 4!","true","true",,,,,
,,,,"SetDefenseCardIndex",,"true","true",3,,,,
,,,,"SpawnWaveChild","Tower$WAVE_VAR3$Spawn$CURRENT_CARD_PVE_TYPE$4","true","true",,,,,
,,,,"TriggerDefenseDeploy",,"true","true","wave_var3-1",,,,
,,,,"SetDefenseChargeTime",,"true","true","wave_var3-1","var1*defense_card_cost1",,,
,,,,"None",,"true","time_in_line >= (var1 * defense_card_cost1)",,,,,
,,,,"RestartWave",,"true","true",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"MainClanBoatAttackBrokenTower","false","false","Sequential","None",,"true","time_in_line >= (var2 * defense_card_cost1)",,,,,
,,,,"SetDefenseCardIndex",,"true","true",0,,,,
,,,,"SpawnWaveChild","Tower$WAVE_VAR3$Spawn$CURRENT_CARD_PVE_TYPE$1","true","true",,,,,
,,,,"None",,"true","time_in_line >= (var2 * defense_card_cost2)",,,,,
,,,,"SetDefenseCardIndex",,"true","true",1,,,,
,,,,"SpawnWaveChild","Tower$WAVE_VAR3$Spawn$CURRENT_CARD_PVE_TYPE$2","true","true",,,,,
,,,,"None",,"true","time_in_line >= (var2 * defense_card_cost3)",,,,,
,,,,"SetDefenseCardIndex",,"true","true",2,,,,
,,,,"SpawnWaveChild","Tower$WAVE_VAR3$Spawn$CURRENT_CARD_PVE_TYPE$3","true","true",,,,,
,,,,"None",,"true","time_in_line >= (var2 * defense_card_cost4)",,,,,
,,,,"SetDefenseCardIndex",,"true","true",3,,,,
,,,,"SpawnWaveChild","Tower$WAVE_VAR3$Spawn$CURRENT_CARD_PVE_TYPE$4","true","true",,,,,
,,,,"RestartWave",,"true","true",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"Tower1SpawnUnknown","false","false","Sequential","SpawnFromTower1","$CURRENT_CARD$","true","true",1,3500,12000,0,"current_card_level"
"Tower1SpawnDefender","false","false","Sequential","SpawnFromTower1","$CURRENT_CARD$","true","true",1,3500,12000,0,"current_card_level"
"Tower1SpawnAttacker","false","false","Sequential","SpawnFromTower1","$CURRENT_CARD$","true","true",1,18000,3500,0,"current_card_level"
"Tower1SpawnSpell","false","false","Sequential","SpawnFromTower1","$CURRENT_CARD$","true","true",1,3500,9000,0,"current_card_level"
"Tower1SpawnRange","false","false","Sequential","SpawnFromTower1","$CURRENT_CARD$","true","true",1,3500,2500,0,"current_card_level"
,,,,,,,,,,,,
"Tower2SpawnUnknown","false","false","Sequential","SpawnFromTower2","$CURRENT_CARD$","true","true",1,9000,12000,0,"current_card_level"
"Tower2SpawnDefender","false","false","Sequential","SpawnFromTower2","$CURRENT_CARD$","true","true",1,9000,12000,0,"current_card_level"
"Tower2SpawnAttacker","false","false","Sequential","SpawnFromTower2","$CURRENT_CARD$","true","true",1,9000,12000,0,"current_card_level"
"Tower2SpawnSpell","false","false","Sequential","SpawnFromTower2","$CURRENT_CARD$","true","true",1,9000,9000,0,"current_card_level"
"Tower2SpawnRange","false","false","Sequential","SpawnFromTower2","$CURRENT_CARD$","true","true",1,9000,4500,0,"current_card_level"
,,,,,,,,,,,,
"Tower3SpawnUnknown","false","false","Sequential","SpawnFromTower3","$CURRENT_CARD$","true","true",1,15000,12000,0,"current_card_level"
"Tower3SpawnDefender","false","false","Sequential","SpawnFromTower3","$CURRENT_CARD$","true","true",1,15000,12000,0,"current_card_level"
"Tower3SpawnAttacker","false","false","Sequential","SpawnFromTower3","$CURRENT_CARD$","true","true",1,1500,3500,0,"current_card_level"
"Tower3SpawnSpell","false","false","Sequential","SpawnFromTower3","$CURRENT_CARD$","true","true",1,15000,9000,0,"current_card_level"
"Tower3SpawnRange","false","false","Sequential","SpawnFromTower3","$CURRENT_CARD$","true","true",1,15000,2500,0,"current_card_level"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"Tower1SpawnUnknown1","false","false","Sequential","SpawnFromTower1","$CURRENT_CARD$","true","true",1,3500,12000,0,"defense_card_level1"
"Tower1SpawnDefender1","false","false","Sequential","SpawnFromTower1","$CURRENT_CARD$","true","true",1,3500,12000,0,"defense_card_level1"
"Tower1SpawnAttacker1","false","false","Sequential","SpawnFromTower1","$CURRENT_CARD$","true","true",1,18000,3500,0,"defense_card_level1"
"Tower1SpawnSpell1","false","false","Sequential","SpawnFromTower1","$CURRENT_CARD$","true","true",1,3500,9000,0,"defense_card_level1"
"Tower1SpawnRange1","false","false","Sequential","SpawnFromTower1","$CURRENT_CARD$","true","true",1,3500,2500,0,"defense_card_level1"
"Tower2SpawnUnknown1","false","false","Sequential","SpawnFromTower2","$CURRENT_CARD$","true","true",1,9000,12000,0,"defense_card_level1"
"Tower2SpawnDefender1","false","false","Sequential","SpawnFromTower2","$CURRENT_CARD$","true","true",1,9000,12000,0,"defense_card_level1"
"Tower2SpawnAttacker1","false","false","Sequential","SpawnFromTower2","$CURRENT_CARD$","true","true",1,9000,12000,0,"defense_card_level1"
"Tower2SpawnSpell1","false","false","Sequential","SpawnFromTower2","$CURRENT_CARD$","true","true",1,9000,9000,0,"defense_card_level1"
"Tower2SpawnRange1","false","false","Sequential","SpawnFromTower2","$CURRENT_CARD$","true","true",1,9000,4500,0,"defense_card_level1"
"Tower3SpawnUnknown1","false","false","Sequential","SpawnFromTower3","$CURRENT_CARD$","true","true",1,15000,12000,0,"defense_card_level1"
"Tower3SpawnDefender1","false","false","Sequential","SpawnFromTower3","$CURRENT_CARD$","true","true",1,15000,12000,0,"defense_card_level1"
"Tower3SpawnAttacker1","false","false","Sequential","SpawnFromTower3","$CURRENT_CARD$","true","true",1,1500,3500,0,"defense_card_level1"
"Tower3SpawnSpell1","false","false","Sequential","SpawnFromTower3","$CURRENT_CARD$","true","true",1,15000,9000,0,"defense_card_level1"
"Tower3SpawnRange1","false","false","Sequential","SpawnFromTower3","$CURRENT_CARD$","true","true",1,15000,2500,0,"defense_card_level1"
,,,,,,,,,,,,
"Tower1SpawnUnknown2","false","false","Sequential","SpawnFromTower1","$CURRENT_CARD$","true","true",1,3500,12000,0,"defense_card_level2"
"Tower1SpawnDefender2","false","false","Sequential","SpawnFromTower1","$CURRENT_CARD$","true","true",1,3500,12000,0,"defense_card_level2"
"Tower1SpawnAttacker2","false","false","Sequential","SpawnFromTower1","$CURRENT_CARD$","true","true",1,18000,3500,0,"defense_card_level2"
"Tower1SpawnSpell2","false","false","Sequential","SpawnFromTower1","$CURRENT_CARD$","true","true",1,3500,9000,0,"defense_card_level2"
"Tower1SpawnRange2","false","false","Sequential","SpawnFromTower1","$CURRENT_CARD$","true","true",1,3500,2500,0,"defense_card_level2"
"Tower2SpawnUnknown2","false","false","Sequential","SpawnFromTower2","$CURRENT_CARD$","true","true",1,9000,12000,0,"defense_card_level2"
"Tower2SpawnDefender2","false","false","Sequential","SpawnFromTower2","$CURRENT_CARD$","true","true",1,9000,12000,0,"defense_card_level2"
"Tower2SpawnAttacker2","false","false","Sequential","SpawnFromTower2","$CURRENT_CARD$","true","true",1,9000,12000,0,"defense_card_level2"
"Tower2SpawnSpell2","false","false","Sequential","SpawnFromTower2","$CURRENT_CARD$","true","true",1,9000,9000,0,"defense_card_level2"
"Tower2SpawnRange2","false","false","Sequential","SpawnFromTower2","$CURRENT_CARD$","true","true",1,9000,4500,0,"defense_card_level2"
"Tower3SpawnUnknown2","false","false","Sequential","SpawnFromTower3","$CURRENT_CARD$","true","true",1,15000,12000,0,"defense_card_level2"
"Tower3SpawnDefender2","false","false","Sequential","SpawnFromTower3","$CURRENT_CARD$","true","true",1,15000,12000,0,"defense_card_level2"
"Tower3SpawnAttacker2","false","false","Sequential","SpawnFromTower3","$CURRENT_CARD$","true","true",1,1500,3500,0,"defense_card_level2"
"Tower3SpawnSpell2","false","false","Sequential","SpawnFromTower3","$CURRENT_CARD$","true","true",1,15000,9000,0,"defense_card_level2"
"Tower3SpawnRange2","false","false","Sequential","SpawnFromTower3","$CURRENT_CARD$","true","true",1,15000,2500,0,"defense_card_level2"
,,,,,,,,,,,,
"Tower1SpawnUnknown3","false","false","Sequential","SpawnFromTower1","$CURRENT_CARD$","true","true",1,3500,12000,0,"defense_card_level3"
"Tower1SpawnDefender3","false","false","Sequential","SpawnFromTower1","$CURRENT_CARD$","true","true",1,3500,12000,0,"defense_card_level3"
"Tower1SpawnAttacker3","false","false","Sequential","SpawnFromTower1","$CURRENT_CARD$","true","true",1,18000,3500,0,"defense_card_level3"
"Tower1SpawnSpell3","false","false","Sequential","SpawnFromTower1","$CURRENT_CARD$","true","true",1,3500,9000,0,"defense_card_level3"
"Tower1SpawnRange3","false","false","Sequential","SpawnFromTower1","$CURRENT_CARD$","true","true",1,3500,2500,0,"defense_card_level3"
"Tower2SpawnUnknown3","false","false","Sequential","SpawnFromTower2","$CURRENT_CARD$","true","true",1,9000,12000,0,"defense_card_level3"
"Tower2SpawnDefender3","false","false","Sequential","SpawnFromTower2","$CURRENT_CARD$","true","true",1,9000,12000,0,"defense_card_level3"
"Tower2SpawnAttacker3","false","false","Sequential","SpawnFromTower2","$CURRENT_CARD$","true","true",1,9000,12000,0,"defense_card_level3"
